Sentence	B	W	A	H	Abs
Bradley Beal led the team in scoring with an efficient 21 points ( 7 - 9 FG , 3 - 3 3Pt , 4 - 5 FT ) in 23 minutes , while Marcin Gortat also put up a nice stat line of 19 points ( 8 - 9 FG ) , seven rebounds and six assists in 26 minutes .	1	0	0	0	NOUN-ORG ADV-PERCENT NUM-PERCENT NOUN-PERCENT NUM-TIME PUNCT-TIME ADP-TIME PUNCT-TIME NUM-TIME PUNCT-.
Ramon Sessions was great in replacing Wall in the starting lineup , posting 19 points ( 5 - 7 FG , 2 - 2 3Pt , 7 - 9 FT ) , seven assists and four rebounds in 29 minutes .	1	1	0	0	PROPN-ORG ADJ-ORDINAL PROPN-GPE PROPN-DATE PUNCT-.
The Wizards were without All-Star point guard John Wall ( rest ) , but they still no issue dealing with the 76ers .	0	1	0	0	PROPN-GPE NUM-PERCENT NOUN-PERCENT NUM-CARDINAL PUNCT-.
The Washington Wizards ( 45 - 33 ) defeated the Philadelphia 76ers ( 18 - 61 ) 119 - 90 on Wednesday in Philadelphia .	1	1	0	0	PROPN-PERSON NUM-CARDINAL X-CARDINAL_COMPARISON PROPN-ORG PUNCT-.
Up next , the 76ers will take on the Knicks at home Friday , while the Pistons head home Saturday to take on the Bulls .	0	0	1	0	PROPN-PERSON NUM-CARDINAL PUNCT-.
By losing 11 of their previous 12 games , they are destined for the NBA lottery .	0	0	1	0	NUM-CARDINAL PROPN-ORG PROPN-PERSON PUNCT-PERSON PROPN-PERSON NUM-CARDINAL PUNCT-.
Beyond those two , the Pistons struggled , as no other Detroit player scored in double figures .	0	1	0	0	PROPN-PERSON NUM-CARDINAL PROPN-PERSON NUM-CARDINAL NUM-TIME NOUN-TIME PUNCT-.
Kentavious Caldwell-Pope also followed up his 24 - point performance on Tuesday in a strong way , scoring 20 points on 7 - of - 16 shooting and grabbing eight rebounds in 36 minutes .	1	1	1	0	PROPN-ORG PROPN-GPE PROPN-ORG PROPN-TIME NOUN-TIME PUNCT-.
Reggie Jackson followed up Tuesday night 's big game with a triple - double , putting up 11 points on just 4 - of - 17 shooting , 11 rebounds and 10 assists in 32 minutes .	1	1	1	0	PROPN-ORG DET-GPE PROPN-GPE PROPN-ORG PROPN-TIME NOUN-TIME PUNCT-.
Despite the loss , Detroit did have some strong performances .	0	1	0	0	X-CARDINAL_COMPARISON SYM-DATE NUM-DATE PROPN-GPE NUM-76ers X-CARDINAL_COMPARISON SYM-CARDINAL NUM-CARDINAL PROPN-DATE NOUN-CARDINAL PROPN-GPE PUNCT-.
They were without Greg Monroe , who sat out his second consecutive game with a strained knee .	0	0	1	1	X-CARDINAL_COMPARISON SYM-DATE NUM-DATE NUM-PERCENT NOUN-PERCENT NUM-PERCENT NOUN-PERCENT NUM-CARDINAL PROPN-ORG ADV-PERCENT NUM-PERCENT NOUN-PERCENT NUM-PERCENT NOUN-PERCENT PUNCT-.
It was a quick fall back to reality for the Pistons , as just a day after upsetting the Grizzlies and ending a 10 - game losing streak , they lost to one of the NBA 's worst teams .	0	0	1	0	DET-ORG PROPN-ORG X-CARDINAL_COMPARISON SYM-DATE NUM-DATE PUNCT-) X-CARDINAL_COMPARISON SYM-DATE NUM-DATE PROPN-ORG X-CARDINAL_COMPARISON SYM-PRODUCT NUM-PRODUCT DET-ORG PROPN-ORG X-CARDINAL_COMPARISON SYM-DATE NUM-DATE DET-WORK_OF_ART PROPN-WORK_OF_ART X-CARDINAL_COMPARISON SYM-DATE NUM-DATE PUNCT-.
The win is just Philadelphia 's third in 10 games , and they currently boast the third worst record in the NBA .	0	0	1	0	DET-ORG PROPN-ORG X-CARDINAL_COMPARISON SYM-DATE NUM-DATE PROPN-PERSON PROPN-DATE NUM-CARDINAL X-CARDINAL_COMPARISON SYM-TIME NUM-TIME NOUN-TIME X-CARDINAL_COMPARISON SYM-QUANTITY NUM-QUANTITY PROPN-QUANTITY NUM-CARDINAL PUNCT-.
Thomas Robinson and Jerami Grant were able to make positive contributions in their reserve roles , scoring 12 and 10 points respectively .	1	1	0	0	PROPN-PERSON ADJ-ORDINAL DET-DATE NOUN-DATE PROPN-PERSON PART-PERSON NUM-CARDINAL PROPN-PERSON ADJ-TIME NUM-TIME PUNCT-.
Conversely , Robert Covington struggled , as he shot just 1 - of - 6 from the field on his way to three points in 22 minutes off the bench .	1	1	0	0	PROPN-PERSON PUNCT-.
Canaan struggled coming off the bench , putting up just nine points on 2 - of - 10 shooting and four assists in 22 minutes .	1	1	0	0	PROPN-PERSON X-CARDINAL_COMPARISON NUM-CARDINAL X-CARDINAL_COMPARISON NUM-CARDINAL PUNCT-.
Smith thrived in the role , recording 15 points on 6 - of - 12 shooting , eight assists and three steals in 26 minutes .	1	1	0	0	PROPN-PERSON PROPN-DATE PROPN-NORP PROPN-PERSON PUNCT-.
It was Ish Smith who led the way for Philadelphia , as he was moved into the starting point guard role while Isaiah Canaan was moved to the bench .	0	1	0	0	PROPN-PERSON ADJ-ORDINAL DET-DATE NOUN-DATE PROPN-PERSON DET-DATE ADJ-DATE NOUN-DATE NUM-CARDINAL X-CARDINAL_COMPARISON PROPN-ORG X-CARDINAL_COMPARISON SYM-QUANTITY NUM-QUANTITY PROPN-QUANTITY NUM-CARDINAL PUNCT-.
He had 11 points on 5 - of - 10 shooting , four rebounds and three blocks in that time and did not return .	1	1	0	0	NUM-CARDINAL ADV-DATE DET-DATE NOUN-DATE PUNCT-.
The 76ers were able to pull off the win despite Nerlens Noel leaving the game with a right foot contusion after playing just 22 minutes .	1	1	0	0	PROPN-PERSON NUM-CARDINAL X-CARDINAL_COMPARISON NOUN-ORG X-CARDINAL_COMPARISON SYM-CARDINAL NUM-CARDINAL X-CARDINAL_COMPARISON SYM-QUANTITY NUM-QUANTITY PROPN-QUANTITY NUM-TIME NOUN-TIME PUNCT-.
The Philadelphia 76ers ( 16 - 52 ) defeated the Detroit Pistons ( 24 - 44 ) 94 - 83 on Wednesday in Philadelphia .	1	1	0	0	PROPN-ORG PROPN-PRODUCT PROPN-PERSON PUNCT-PERSON PROPN-PERSON PUNCT-.
The Sixers get one day off before playing the Boston Celtics on the road .	0	0	1	0	PROPN-PERSON PUNCT-PERSON PROPN-PERSON PUNCT-PERSON PROPN-PERSON NUM-CARDINAL X-CARDINAL_COMPARISON NOUN-ORG X-CARDINAL_COMPARISON SYM-CARDINAL NUM-CARDINAL NOUN-CARDINAL X-CARDINAL_COMPARISON SYM-TIME NUM-TIME PROPN-TIME NUM-CARDINAL PUNCT-.
The Brooklyn Nets take on the Minnesota Timberwolves , the worst Western_Conference team , on Monday for the first time since trading away Kevin Garnett for Thaddeus Young .	0	0	1	0	PROPN-PERSON PUNCT-PERSON PROPN-PERSON PART-PERSON NUM-CARDINAL PROPN-PERSON PUNCT-PERSON PROPN-PERSON NUM-CARDINAL PROPN-PERSON PUNCT-PERSON PROPN-PERSON PART-PERSON PROPN-ORG PUNCT-.
Thomas Robinson grabbed 12 rebounds in 17 minutes and is averaging 9 rebounds per game in 18 minutes per game in nine games with the Sixers .	1	0	1	0	PROPN-ORG NUM-CARDINAL X-CARDINAL_COMPARISON PROPN-ORG X-CARDINAL_COMPARISON SYM-QUANTITY NUM-QUANTITY PROPN-QUANTITY NUM-CARDINAL PUNCT-.
Glenn Robinson III played seven minutes in his 76ers ’ debut , forced into action after the Sixers were whistled for nine fouls in the first seven minutes .	1	1	0	0	NUM-CARDINAL PROPN-PERSON PUNCT-PERSON PROPN-PERSON PUNCT-PERSON PROPN-PERSON PART-PERSON ADV-CARDINAL NUM-CARDINAL PUNCT-.
Nerlens Noel continued to pad his Rookie of the Year résumé , notching 17 points , seven rebounds , two assists , one steal and two blocks in 30 minutes before fouling out .	1	0	1	0	PROPN-PERSON NUM-CARDINAL X-CARDINAL_COMPARISON SYM-PERCENT NOUN-ORG X-CARDINAL_COMPARISON NUM-CARDINAL PUNCT-.
Jerami Grant started his first game of the season because Luc Mbah_a_Moute was rested .	0	1	0	1	PROPN-WORK_OF_ART ADJ-ORDINAL DET-DATE NOUN-DATE ADJ-ORDINAL PROPN-PERSON NUM-CARDINAL PUNCT-.
Brett Brown shuffled up the starting lineup , replacing Robert Covington with Jason Richardson , who rested Friday ’ s game .	0	1	0	1	PROPN-PRODUCT PUNCT-.
Joe Johnson made a field goal for the 866th consecutive game , the longest active streak in the NBA .	0	0	1	0	PROPN-PERSON NUM-CARDINAL X-CARDINAL_COMPARISON PROPN-ORG X-CARDINAL_COMPARISON PROPN-QUANTITY NUM-TIME NOUN-TIME PUNCT-.
They converted just 2 - of - 17 three - pointers .	1	0	0	0	PROPN-ORG DET-ORG PROPN-ORG PROPN-DATE PROPN-ORG DET-ORG PROPN-ORG PROPN-DATE PUNCT-.
With the win , the Nets pulled to within three games of the eight seed .	0	0	1	0	PROPN-GPE X-CARDINAL_COMPARISON SYM-CARDINAL NUM-CARDINAL X-CARDINAL_COMPARISON PUNCT-) X-CARDINAL_COMPARISON PROPN-DATE PUNCT-.
The oft - injured Brook Lopez played his 38th straight contest , more than double his total from last season .	0	0	1	1	PROPN-GPE ADJ-ORDINAL PROPN-PERSON PUNCT-PERSON PROPN-PERSON PUNCT-.
Thaddeus Young scored his most points as a Net , recording 21 on 15 shots and hit a three - pointer for the 11th straight game , a career - high .	1	0	1	0	NUM-CARDINAL NOUN-CARDINAL PROPN-ORG X-CARDINAL_COMPARISON SYM-PRODUCT NUM-PRODUCT DET-DATE ADJ-DATE NOUN-DATE PUNCT-.
The Sixers shot 8 - of - 37 on three - pointers in the loss .	1	0	0	0	PROPN-GPE PROPN-PERSON PUNCT-PERSON PROPN-PERSON PUNCT-.
The Brooklyn Nets ( 26 - 38 ) helped their playoff chances with a 94 - 87 win over the Philadelphia 76ers ( 15 - 51 ) , snapping a five - game losing streak .	1	1	1	0	PROPN-ORG NUM-CARDINAL PROPN-PERSON PUNCT-PERSON PROPN-PERSON PUNCT-.
The Sixers ' next game will be at home against the Brooklyn Nets on Saturday , while the Kings will travel to Washington to play the Wizards on Saturday .	0	0	1	0	PROPN-PERSON NUM-CARDINAL PROPN-GPE ADV-DATE ADP-DATE DET-DATE NOUN-DATE PROPN-DATE PUNCT-.
The only other King in double figures was Derrick Williams , who came off the bench for 15 points ( 5 - 9 FG , 2 - 5 3Pt , 3 - 4 FT ) and three rebounds in 31 minutes .	1	1	0	0	PROPN-PERSON DET-TIME ADJ-TIME NOUN-TIME X-CARDINAL_COMPARISON NUM-CARDINAL NUM-TIME NOUN-TIME PUNCT-.
Like Cousins , he 's played extremely well over his last five games , averaging 28 points during that span , while shooting over 40 percent in each of those matchups as well.	0	0	1	0	PROPN-GPE NUM-CARDINAL PROPN-GPE ADJ-ORDINAL PROPN-LOC PROPN-GPE PUNCT-.
In 40 minutes on the court , Gay finished with 24 points ( 7 - 17 FG , 1 - 5 3Pt , 9 - 10 FT ) and four rebounds .	1	0	0	0	PROPN-ORG PROPN-DATE PUNCT-.
Rudy Gay also did his best in keeping the Kings close .	0	1	0	0	PROPN-GPE X-CARDINAL_COMPARISON PROPN-GPE PROPN-DATE PROPN-GPE NUM-CARDINAL PROPN-GPE NUM-CARDINAL PROPN-DATE PUNCT-.
Over that five - game stretch , he 's averaging 25 points and 16 rebounds , as he 's one of the hottest players in the league .	0	0	1	0	PROPN-PERSON NUM-CARDINAL NUM-TIME NOUN-TIME PUNCT-.
Cousins continues to play well of late , as this was his fifth straight double - double .	0	0	1	0	PROPN-PERSON NUM-CARDINAL PUNCT-.
Cousins went 12 - for - 24 from the field and 15 - for - 20 from the free throw line to score a game - high of 39 points , while also grabbing 24 rebounds in the process .	1	1	0	0	PROPN-PERSON PUNCT-PERSON PROPN-PERSON PROPN-DATE PROPN-PERSON PUNCT-PERSON PROPN-PERSON PROPN-GPE PROPN-DATE PROPN-PRODUCT PUNCT-.
Despite taking the loss , DeMarcus Cousins had himself a monster game .	0	1	0	0	PROPN-ORG X-CARDINAL_COMPARISON NUM-CARDINAL PROPN-PERSON PUNCT-.
Ish Smith added 10 points ( 3 - 11 FG , 0 - 2 3Pt , 4 - 6 FT ) , five rebounds and nine assists off the bench as well .	1	0	0	0	PROPN-GPE X-CARDINAL_COMPARISON DET-DATE ADJ-DATE NOUN-DATE NUM-CARDINAL NOUN-CARDINAL PUNCT-.
He had gone a combined 1 - for - 7 from the field over his last two games , so it was good to see him get things turned around .	0	0	1	0	PROPN-ORG X-CARDINAL_COMPARISON ADV-CARDINAL NUM-CARDINAL PUNCT-.
Grant went 5 - for - 7 from the field to score 13 points , while also adding two steals and four blocked shots in 29 minutes .	1	0	0	0	PROPN-PERSON NUM-CARDINAL NUM-QUANTITY PUNCT-QUANTITY ADP-QUANTITY PUNCT-QUANTITY NUM-QUANTITY PUNCT-.
The Sixers also got some help from the bench from rookie Jerami Grant .	0	1	0	0	PROPN-PERSON NUM-CARDINAL PROPN-FAC NUM-CARDINAL PUNCT-.
He 's averaging 9 points and 8 rebounds on the season .	0	0	1	0	PROPN-ORG X-CARDINAL_COMPARISON NUM-CARDINAL PROPN-GPE NUM-CARDINAL PUNCT-.
Noel remains inconsistent with his scoring , but continues to dominate the boards and has grabbed double - digit rebounds in seven of his last eight games .	0	0	1	0	PROPN-PRODUCT NUM-CARDINAL PROPN-PERSON PUNCT-.
Covington did receive some help though , as Nerlens Noel finished with 16 points ( 7 - 13 FG , 2 - 2 FT ) , 12 rebounds and a blocked shot .	1	1	0	0	PROPN-PERSON NUM-CARDINAL NOUN-CARDINAL NUM-CARDINAL PROPN-PERSON PUNCT-PERSON PROPN-PERSON NUM-CARDINAL PUNCT-.
It was the most points he 's scored since the beginning of February , as he matched a season - high in hitting six three - point shots.	1	0	1	0	PROPN-PERSON PUNCT-PERSON PROPN-PERSON ADJ-ORDINAL ADJ-DATE SCONJ-DATE NUM-DATE NOUN-DATE PROPN-PERSON NUM-CARDINAL NUM-TIME NOUN-TIME PUNCT-.
Robert Covington led the way , scoring 24 points ( 8 - 17 FG , 6 - 12 3Pt , 2 - 3 FT ) , to go along with two assists and three steals .	1	1	0	0	PROPN-ORG PROPN-GPE PROPN-ORG PROPN-DATE PUNCT-.
The Sixers did n't have the best night shooting the ball , but they still finished at 47 percent from the field and 28 percent from the three - point line as a team .	1	1	0	0	PROPN-GPE PROPN-ORG PROPN-DATE PUNCT-.
While both teams are likely going to miss the playoffs , it was still a nice win for the Sixers , who notch just their fifteenth victory of the season .	0	1	1	0	DET-ORG PROPN-ORG X-CARDINAL_COMPARISON PROPN-GPE NUM-76ers X-CARDINAL_COMPARISON PROPN-DATE NOUN-CARDINAL PROPN-GPE PUNCT-.
They came out with a big third quarter though , where they out - scored the Kings 37 - 18 to give them just enough of a lead to secure the seven - point win in front of their home crowd .	0	1	0	0	DET-ORG PROPN-ORG X-CARDINAL_COMPARISON NUM-PERCENT NOUN-PERCENT NUM-PERCENT NOUN-PERCENT NUM-CARDINAL PROPN-ORG NUM-PERCENT NOUN-PERCENT NUM-PERCENT NOUN-PERCENT PUNCT-.
After being out - scored by 20 points in the second quarter , the Sixers had themselves in a hole , as they were down 64 - 51 at the half .	0	1	0	0	DET-ORG PROPN-ORG X-CARDINAL_COMPARISON PROPN-ORG NUM-CARDINAL ADV-CARDINAL NUM-CARDINAL DET-ORG PROPN-ORG X-CARDINAL_COMPARISON DET-ORG PROPN-ORG X-CARDINAL_COMPARISON PROPN-GPE PROPN-DATE PUNCT-.
The Philadelphia 76ers ( 15 - 50 ) defeated the Sacramento Kings ( 22 - 42 ) 114 - 107 on Friday at the Wells_Fargo_Center in Philadelphia .	1	1	0	0	DET-ORG PROPN-ORG X-CARDINAL_COMPARISON PROPN-PERSON PUNCT-.
They will take on the East-leading Atlanta Hawks on Saturday .	0	0	1	0	X-CARDINAL_COMPARISON NUM-CARDINAL NOUN-CARDINAL NUM-CARDINAL PUNCT-.
Jason Richardson also struggled , following up 29 - point performance Wednesday with zero points on 0 - of - 10 shooting Friday .	1	1	0	0	PROPN-PERSON NUM-CARDINAL PUNCT-.
Luc Richard Mbah_a_Moute ( 14 ) and Ish Smith ( 14 ) round out the 76ers players in double figures .	1	1	0	0	ADJ-PERCENT SCONJ-PERCENT NUM-PERCENT NOUN-PERCENT NUM-CARDINAL PUNCT-.
Thomas Robinson also recorded a double - double , recording 11 points and a team - high 12 rebounds in just 15 minutes of play .	1	1	0	0	PROPN-PERSON DET-DATE NOUN-DATE PROPN-PERSON NUM-CARDINAL X-CARDINAL_COMPARISON SYM-TIME NUM-TIME NOUN-TIME X-CARDINAL_COMPARISON NUM-CARDINAL PUNCT-.
He also had six steals .	1	0	0	0	NUM-CARDINAL DET-DATE NOUN-DATE PUNCT-.
Nerlens Noel had a double - double , putting up 10 points on 5 - of - 12 shooting and 11 rebounds in 37 minutes .	1	1	0	0	DET-ORG PROPN-ORG X-CARDINAL_COMPARISON DET-ORG PROPN-ORG X-CARDINAL_COMPARISON PUNCT-.
Isaiah Canaan led the 76ers in scoring for the second game in a row , recording 16 points on 6 - of - 15 shooting to go along with four assists in 28 minutes .	1	1	0	0	NUM-CARDINAL X-CARDINAL_COMPARISON SYM-TIME NUM-TIME NOUN-TIME X-CARDINAL_COMPARISON SYM-QUANTITY NUM-QUANTITY PROPN-QUANTITY NUM-CARDINAL NUM-TIME NOUN-TIME PROPN-PERSON NUM-CARDINAL X-CARDINAL_COMPARISON SYM-PERCENT NUM-PERCENT NOUN-PERCENT X-CARDINAL_COMPARISON SYM-QUANTITY NUM-QUANTITY PROPN-QUANTITY NUM-CARDINAL NUM-TIME NOUN-TIME PUNCT-.
The Jazz have now won eight of their last 11 games and will travel to Brooklyn Sunday to take on the Nets .	0	0	1	0	PROPN-ORG PROPN-PERSON NUM-CARDINAL X-CARDINAL_COMPARISON PUNCT-.
Trey Burke was the only other member of Utah to score in double figures , putting up 10 points on 3 - of - 12 shooting in 30 minutes off the bench .	1	1	0	0	NUM-CARDINAL PUNCT-.
Derrick Favors recorded 15 points and 10 rebounds , his first double - double in four games , while Rudy Gobert fell one point shy of a double - double , putting up nine points and a game - high 15 rebounds .	1	1	1	0	NUM-CARDINAL PUNCT-.
The Jazz 's starting frontcourt was also strong in the winning effort .	0	1	0	0	PROPN-PERSON NUM-CARDINAL X-CARDINAL_COMPARISON NOUN-ORG X-CARDINAL_COMPARISON SYM-QUANTITY NUM-QUANTITY PROPN-QUANTITY NUM-CARDINAL PUNCT-.
Hayward scored a game - high 25 points on 7 - of - 16 shooting and also recorded nine rebounds and four assists in 37 minutes .	1	1	0	0	PROPN-PRODUCT PUNCT-.
The 76ers held a six - point lead early in the second half , but the Jazz slowly worked their way back and ultimately took the lead for good with Gordon Hayward leading the way .	0	1	0	0	ADV-ORDINAL NUM-CARDINAL PROPN-GPE NUM-CARDINAL PUNCT-.
