Sentence	B	W	A	H	Abs
Johnson was taken out of the game , tipping his hat as he received respectful applause from Brewers fans .	0	1	0	0	
Milwaukee added to its lead in the seventh when Joe Dillon 's double drove in J. J. Hardy from first .	0	1	0	0	
Braun was impressed .	0	1	0	0	
Tuesday was the first time Braun , the 2007 NL Rookie of the Year , had faced Johnson .	0	0	1	0	
But Johnson got in trouble with a 1 - 0 lead in the sixth , walking Cameron to lead off the inning and giving up a go-ahead two - run homer to Braun , his 16th of the season .	1	1	0	0	
Johnson made a stunning play on a sharp ground ball by Prince Fielder in the fourth , reaching back to his left and snagging the ball out of the air with his bare left hand .	0	1	0	0	
Johnson went on to strike out eight and gave up only three hits through five -- all singles , two of which came from McClung .	1	1	0	0	
His first-inning strikeout of Mike Cameron was the 4,673rd of his career , putting him in second place but still far behind Nolan Ryan 's 5,714 .	0	0	1	0	
Milwaukee had to stay patient at the plate with Johnson ( 4 - 2 ) , who was nearly untouchable through the first five innings .	1	1	0	0	
Milwaukee now has won five straight and eight of its last nine games after a disappointing start to the season .	0	0	1	0	
But it was McClung , Ryan Braun and the Brewers who came away with a 7 - 1 victory .	1	1	0	0	
Johnson began Tuesday night by passing Roger Clemens and taking sole possession of second place on baseball 's career strikeout list .	0	1	1	0	
McClung said he 's sending them straight to the hall -- the one in his house , anyway .	0	1	0	0	
But those bats the Brewers ' right-hander used to slap the first two hits of his career against the Arizona Diamondbacks ' venerable veteran ?	0	0	1	0	
MILWAUKEE ( AP ) -- Seth McClung did n't want to get caught up in the notion that he was going pitch-for-pitch with Randy Johnson , especially on a night when the Big Unit reached another lofty milestone .	0	1	0	0	
But Saunders ended what essentially was Seattle 's last scoring chance by striking out Adrian Beltre on a curveball that bounced in front of the mound with two men on .	0	1	0	0	
The Angels ' two errors led to three unearned runs , after they had made just 24 errors in 59 games .	1	1	1	0	
The knuckleballer has been scoreless in 11 innings of long relief on Seattle 's homestand .	0	0	1	0	
Dickey pitched 5 2/3 scoreless innings and got a standing ovation from the home crowd after he finished the eighth .	1	1	0	0	
Bedard sounded OK with that .	0	1	0	0	
Bedard said nothing and barely looked at John McLaren as his manager silently took the ball from him and waited for R. A. Dickey to arrive from the bullpen .	0	1	0	0	
Willits sacrificed them to second and third , and Izturis and Kendrick followed with consecutive RBI singles to make it 5 - 0 and end Bedard 's night .	1	1	0	0	
In the fourth , Bedard allowed a leadoff double to Robb Quinlan and walked No . 9 hitter Jeff Mathis for the second time .	1	1	0	0	
Izturis ' two - run single in the second scored Casey Kotchman to make it 3 - 0 .	1	0	0	0	
He walked three and struck out one .	1	0	0	0	
It was his second-shortest start of the season .	0	0	1	0	
But the $ 7 million man , who had asked the Mariners for an extra day of rest following his two - hit blanking of Boston over seven innings May 28 , allowed seven hits and five runs in just 3 1/3 innings .	1	0	1	0	
That was supposed to be Bedard .	0	1	0	0	
Not bad for a $ 425,000 salary .	0	0	1	0	
Saunders , who has yet to pitch an entire season in the major leagues , has allowed one or no earned runs in six of 12 starts this season .	0	0	1	0	
Using a sweeping curve and well-placed fastballs , he struck out five and walked one while lowering his ERA to 2.63 .	1	1	0	0	
Now , he 's perpetually good .	0	0	1	0	
Saunders had four stints with Los Angeles last season while on a perpetual shuttle to and from Triple-A Salt Lake .	0	0	1	0	
Saunders and Santana have a combined 17 wins , including in the first two games over this series with a sunken Mariners team that was supposed to be their chief division rival but is instead 14 1/2 games in the Angels ' dust .	0	0	1	0	
Presto !	0	1	0	0	
Saunders was in a spring-training battle with Ervin Santana for the last spot in the rotation -- but then top starters Kelvim Escobar and John Lackey got hurt .	0	1	0	0	
Francisco Rodriguez struck out the side in the ninth for his 23rd save in 24 chances .	1	0	1	0	
Jose Arredondo pitched perfect eighth .	0	1	0	0	
The man for whom Seattle traded five players to Baltimore in February was booed off the mound during the 19th loss in 26 games for the team with the AL 's worst record .	0	0	1	0	
The Angels scored all of their runs early off Erik Bedard ( 4 - 4 ) .	1	1	0	0	
The resourceful AL West leaders have won 10 of those games .	0	0	1	0	
Saunders ( 9 - 2 ) allowed six hits and likely would have cruised with a 5 - 1 lead but for two errors in the fifth inning for the Angels , who scored more than four runs for the first time in 14 games .	1	1	1	0	
The Triple-A traveler last season allowed one earned run in seven innings to become the AL 's first nine - game winner and Maicer Izturis drove in a season-high three runs as the Los Angeles Angels beat the Seattle Mariners 5 - 4 on Tuesday night .	1	1	1	0	
What would Joe Saunders have said then if he 'd been told that by June he 'd the AL 's leader in wins ?	0	0	1	0	
SEATTLE ( AP ) -- Just over two months ago , he was just another Joe fighting for a job in the major leagues .	0	0	1	0	
Drew 's sixth homer gave Boston a 3 - 2 lead in the fourth , but Tampa Bay went ahead in the sixth on Pena 's two - run homer , following a walk to Upton .	1	1	0	0	
The Red Sox had taken a 2 - 1 lead in the second on Lowell 's eighth homer , a two - run shot after Ramirez singled .	1	1	0	0	
Akinori Iwamura led off the game with his third homer of the season , then Masterson held the Rays scoreless until consecutive doubles by B. J. Upton and Carlos Pena in the fourth tied the game 2 - 2 .	1	1	1	0	
Crisp then doubled low off the left-field wall , scoring Ramirez and Drew .	0	1	0	0	
Varitek followed with a run-scoring single that tied the game at 4 .	1	1	0	0	
Drew then walked to load the bases with one out .	0	1	0	0	
He went to second on an error by shortstop Jason Bartlett on Ramirez 's grounder , only the 24th error by the Rays , the fewest in the majors .	1	1	1	0	
Garza started the sixth with a 4 - 3 lead but hit the first batter , Kevin Youkilis , with a pitch .	1	1	0	0	
Craig Hansen got out of a first-and-second jam with no outs in the eighth by retiring the next three batters .	0	1	0	0	
Rookie Justin Masterson ( 2 - 0 ) allowed four runs in six innings in his third major league start for Boston .	1	0	1	0	
Boston cut Tampa Bay 's lead in the division to a half game , although the Rays are 12 games over .500 , eight more than their previous best during their 11-year history .	0	0	1	0	
The Red Sox are 22 - 5 at home where their winning streak matched the Rays for the longest in the AL this season .	0	0	1	0	
But when left fielder Ramirez was shifted to DH because of sore legs , Crisp started in center and Ellsbury went from center to left .	0	1	0	0	
Sean Casey was in the original lineup as the designated hitter with Crisp on the bench .	0	1	0	0	
Crisp snapped a 1 - for - 25 slump with his double in a game he was n't supposed to start .	1	1	1	0	
Ortiz is hitting .252 now and leads the team with 13 homers and 43 RBIs .	0	0	1	0	
And they had a one - game division lead at the end of April despite his .184 batting average .	0	0	1	0	
They were 4 - 2 in their first six home games even though he was 0 - for - 17 .	0	0	1	0	
He 's expected to wear the cast for two to three weeks and then work to strengthen the wrist for a return to the lineup at an unknown time .	0	1	0	0	
Before the game , Ortiz sat at his locker with a hard cast covering most of his left arm to protect a partially torn sheath around the tendon in his left wrist .	0	1	0	0	
Jacoby Ellsbury 's sacrifice fly produced the final run .	0	1	0	0	
Drew also got a key walk in the four - run sixth that was followed by Jason Varitek 's tying RBI single and Crisp 's two - run double that made it 6 - 4 .	1	1	0	0	
Drew and Mike Lowell hit two - run homers in Boston 's first game after a 4 - 6 road trip .	1	0	1	0	
With every batter reaching base -- and a slumping Coco Crisp driving in the go-ahead run -- Boston won its 11th straight game at Fenway Park with a 7 - 4 victory over the Tampa Bay Rays in a matchup of the AL 's top two teams Wednesday night .	1	1	1	0	
BOSTON ( AP ) -- The Red Sox kept winning at home despite losing David Ortiz .	0	0	1	0	
After Utley was intentionally walked , Herrera fanned Howard and Burrell to escape the jam .	0	1	0	0	
Left-hander Danny Herrera entered for his big league debut and retired Victorino on a grounder to shortstop .	0	1	1	0	
Harang left after pinch-hitter Greg Dobbs singled and Jimmy Rollins doubled to start the Phillies ' seventh .	1	1	0	0	
With two outs and a runner on third , Freel made a headfirst , diving catch on a sinking liner by Shane Victorino .	0	1	0	0	
Before getting hurt , Freel made a sensational play to save a run in the fifth .	0	1	0	0	
Utley , who leads the majors with 21 homers , did n't hit one out for the first time in six games .	0	0	1	0	
Utley had a broken-bat RBI single with two outs in the third to tie it at 1 .	1	1	0	0	
Eaton had retired the first six batters before Encarnacion lined his 10th homer into the left-field seats .	0	1	1	0	
Encarnacion hit a solo shot leading off the third to give the Reds a 1 - 0 lead .	1	1	0	0	
Pinch-hitter Javier Valentin 's sacrifice fly cut it to 3 - 2 , but Gordon got out of the inning after walking Griffey .	0	1	0	0	
Encarnacion tripled to start the eighth off Gordon .	0	1	0	0	
After Ryan Howard struck out , Burrell hit a towering drive into the left-field seats to give the Phillies a 3 - 1 lead .	1	1	0	0	
Chase Utley led off Philadelphia 's sixth with a double .	1	1	0	0	
He did n't get any run support again -- the Reds have scored 16 runs in his eight losses .	0	1	1	0	
Harang gave up three runs and nine hits in six - plus innings .	1	1	0	0	
Lidge retired Encarnacion on a shallow fly with two runners on to end it .	0	1	0	0	
J. C. Romero and Gordon combined for four outs , and Brad Lidge finished for his 15th save in as many chances .	1	1	1	0	
A constant target for boos because he 's pitched poorly after signing a free-agent contract before last season , Eaton left to a standing ovation , and tipped his hat to the crowd .	0	0	1	0	
Eaton has won consecutive starts after going winless in his first 10 .	0	0	1	0	
Eaton ( 2 - 3 ) allowed one run and three hits , outpitching Aaron Harang ( 2 - 8 ) .	1	1	0	0	
He 'll fly to Cincinnati on Wednesday for further evaluation .	0	0	1	0	
Freel quickly hopped up and hobbled off the field on his own .	0	1	0	0	
Freel crumbled to the ground after taking several steps out of the batter 's box following a grounder to shortstop .	0	1	0	0	
The Reds lost center fielder Ryan Freel to a strained right hamstring in the sixth .	0	1	0	0	
The only players to reach 600 are Barry Bonds , Hank Aaron , Babe Ruth , Willie Mays and Sammy Sosa .	0	0	1	0	
A sellout crowd gave Griffey a standing ovation and booed when reliever Tom Gordon did n't throw a strike .	0	1	0	0	
Junior represented the tying run when he came up with one out , but walked on four pitches and pitcher Bronson Arroyo ran for him .	1	1	0	0	
Rookie sensation Jay Bruce had a checked-swing , infield single in three at-bats .	1	1	0	0	
He 's been bothered by a sore left knee , though he could return Wednesday .	0	0	1	0	
Griffey was n't in the Reds ' lineup for the second straight game because of general soreness .	0	0	1	0	
Griffey walked as a pinch-hitter in the eighth inning to remain one shy of 600 home runs .	0	1	1	0	
Burrell hit a tiebreaking two - run homer , Adam Eaton pitched 6 2/3 impressive innings and the Philadelphia Phillies beat the Cincinnati Reds 3 - 2 Tuesday night .	1	1	0	0	
Pat Burrell did n't miss the tasty , hanging slider he saw .	0	1	0	0	
PHILADELPHIA ( AP ) -- Ken Griffey Jr. did n't get anything to hit his only time up .	0	1	0	0	
San Francisco 's Aaron Rowand had his 10-game hitting streak but he drove in a run on a groundout .	1	0	1	0	
John Olerud reached in 47 straight games spanning the 1998 and ' 99 seasons .	0	0	1	0	
That is the longest single-season streak by the leadoff batter in club history , passing Darryl Strawberry 's 33 in a row from April 25-June 1 , 1987 .	0	0	1	0	
But he did reach base twice on errors , the 34th straight game he reached base .	0	1	1	0	
New York 's Jose Reyes had his 18-game hitting streak snapped .	0	0	1	0	
The Mets went ahead 1 - 0 in the first on a sacrifice fly by David Wright -- the only player in the majors to play every inning so far this season -- but San Francisco tied it in the bottom half on Winn 's 17th double .	1	1	1	0	
He allowed six runs , five earned , on seven hits , walked five and struck out one .	1	0	0	0	
Zito ( 1 - 9 ) , who began the season 0 - 8 , lost for the first time in his three career starts versus New York after getting two victories in 2007 during his initial year in the National League .	1	0	1	0	
Billy Wagner relieved and recorded the final two outs for his 12th save in 14 chances .	1	1	1	0	
Travis Denker hit his first career home run with a three - run shot in the ninth off Scott Schoeneweis .	1	0	1	0	
Carlos Delgado added an RBI single in the fifth .	1	0	0	0	
Carlos Beltran hit a go-ahead RBI double in the fifth and Ryan Church followed with a sacrifice fly for New York , which bounced back from a 10 - 2 loss in the series opener Monday after the team 's cross-country flight following a Sunday night game at Shea Stadium .	1	1	1	0	
Randolph let Martinez go deep in the game , checking on him from time to time .	0	1	0	0	
Martinez more than kept his team in the game in a pitching matchup featuring a pair of former Cy Young Award winners in Martinez and Barry Zito , who was knocked out after only 4 1/3 innings .	0	1	0	0	
He got Ray Durham to fly out then Winn followed with an RBI double to left in a 21-pitch first inning .	1	1	0	0	
The right-hander allowed a single up the middle to leadoff batter Fred Lewis on his second pitch of the night .	0	1	0	0	
Martinez recorded his first strikeout when he fanned Randy Winn in the third on an 80 mph off-speed pitch .	0	1	0	0	
The eight - run inning was New York 's most productive since getting 11 in the sixth at the Chicago Cubs on July 16 , 2006 .	1	0	1	0	
First-pitch temperature was 57 degrees .	0	1	0	0	
Damion Easley hit a three - run double in his second plate appearance during New York 's eight - run fifth , much to delight of the large contingent of Mets supporters among the 35,233 fans who watched in the Giants ' waterfront ballpark on a chilly June night .	1	1	0	0	
His two hits matched his career high , the third time he 's done it and the first since Aug. 3 , 1997 , against San Diego while with the Montreal Expos .	1	0	1	0	
The pitcher sat down and was all smiles .	0	1	0	0	
He received a standing ovation when he walked off the mound after the sixth to finish his night , then was greeted with a hug from catcher Ramon Castro in the dugout .	0	1	0	0	
Martinez ( 1 - 0 ) even got to celebrate a pair of singles and an RBI that helped his cause and improved his line , which read : six innings , seven hits , three runs , three walks and three strikeouts on 109 pitches .	1	1	0	0	
The 36-year-old Martinez came off the disabled list to make his second 2008 start Tuesday night for the New York Mets in a 9 - 6 victory over the San Francisco Giants , more than two months after leaving his first start of the year April 1 with a hamstring injury .	1	1	1	0	
He took a big first step just by getting back on the mound , then went out and won .	0	1	0	0	
SAN FRANCISCO ( AP ) -- It might be a little while before Pedro Martinez returns to his dominant old self .	0	0	1	0	
Rod Barajas and Eckstein each had a two - run double in Toronto 's six - run seventh .	1	1	0	0	
Jeter , who went 2 - for - 5 , received a warm ovation from what was left of the capacity crowd .	1	1	0	0	
Derek Jeter singled in the ninth inning to tie Mickey Mantle for third on the Yankees ' career list with 2,415 hits .	1	0	1	0	
It 's the second-longest active streak against one team in the majors and the longest against New York since Charlie Gehringer 's 31-game streak for Detroit from 1935 - 36 , according to the Elias Sports Bureau .	0	0	1	0	
Rios extended his streak against the Yankees with a seventh-inning single .	1	0	1	0	
He opened this season in the bullpen but was stretched out over three appearances before he joined the rotation .	0	0	1	0	
He made his major league debut at Toronto on Aug. 7 and went 2 - 0 with a 0.38 ERA in 19 games .	0	0	1	0	
Chamberlain , the 41st overall pick in the 2006 amateur draft , was converted to a reliever last year to help the Yankees bridge the gap to closer Mariano Rivera .	0	0	1	0	
Dan Giese ( 0 - 1 ) relieved Chamberlain and allowed a run in 3 2/3 innings in his first game with New York .	1	0	1	0	
He threw his glove down as he climbed down the steps and sat down with a dejected look on his face .	0	1	0	0	
If this had been a first start for any other pitcher on any other team , it would n't have been such a big deal . '' Chamberlain walked off the mound and sheepishly removed his cap to acknowledge the cheering crowd as he approached the dugout .	0	1	1	0	
But Rios walked on four straight balls , and manager Joe Girardi removed the 22-year-old after 62 pitches , about what the Yankees had planned to limit him to .   Tonight was a creation of the media .	0	1	0	0	
Chamberlain retired the side in order in the second and got Marco Scutaro to fly out to right to begin the third .	0	1	0	0	
Chamberlain touched 101 mph on the Yankee Stadium scoreboard but walked three and threw 38 pitches in the first as Toronto took a 1 - 0 lead on Rios ' groundout .	1	1	0	0	
His initial offering to leadoff hitter Shannon Stewart was a ball -- a sign of things to come .	0	1	0	0	
A sellout crowd of 53,629 that included Chamberlain 's father , Harlan , roared as the hard-throwing right-hander was introduced with the starting lineup and gave the youngster a standing ovation before he threw his first pitch .	0	1	0	0	
Halladay was around long after Chamberlain departed from his much-anticipated start .	0	1	0	0	
The former AL Cy Young Award winner got off to a rough start but quickly settled down and improved to 11 - 5 with a 3.03 ERA against New York .	1	1	1	0	
He allowed two runs and six hits in six innings .	1	0	0	0	
Halladay ( 7 - 5 ) won his fourth straight decision and improved to 5 - 1 with a 2.58 ERA in his last seven games .	0	0	1	0	
Alex Rios extended his hitting streak against the Yankees to 24 games and David Eckstein had three RBIs for Toronto , which patiently concentrated on Chamberlain 's pitch count and forced New York to use six pitchers total .	1	1	1	0	
Chamberlain lasted 2 1/3 innings and Roy Halladay held the New York Yankees in check despite some control problems of his own , leading the Toronto Blue Jays to a 9 - 3 victory on Tuesday night .	1	1	0	0	
Just not for the reasons he 'd hoped .	0	1	0	0	
His first major league start was a memorable one , all right .	0	1	1	0	
NEW YORK ( AP ) -- Joba Chamberlain struggled with his control , walked off the mound in the third inning and threw his glove in the dugout .	1	1	0	0	
Drew 's three - run homer lifted the Arizona Diamondbacks to a 6 - 4 victory over the Philadelphia Phillies on Tuesday night in a matchup of NL division leaders .	1	1	1	0	
Feldman gave up five runs in the fourth , the same number he 'd allowed in his past five starts combined .	1	0	1	0	
Jackson ( 1 - 0 ) allowed one run and five hits in six innings and Willie Aybar homered for the Rays , who have won the first two of the four - game series between teams that clashed in spring training .	1	0	1	0	
Halladay pitched his third straight complete game , allowing five runs and nine hits in eight innings .	1	0	1	0	
Carlos Gomez , who missed the previous three games with a sprained right shoulder , had two hits for the Brewers .	1	0	1	0	
Harang already knew what the Marlins could do -- he gave up five homers in his last two starts against them .	0	1	1	0	
The Royals , who scored just two runs and stranded 11 baserunners in the first two games of this series , went up 2 - 0 when Chris Getz singled in Hosmer in the fourth .	1	0	1	0	
Miguel Gonzalez ( 7 - 4 ) allowed two runs on seven hits with three strikeouts and one walk in 6 1/3 innings as the Orioles improved to 6 - 1 this season at Fenway Park .	1	0	1	0	
Miller pitched seven shutout innings and Tony Cruz hit two doubles and drove in a pair of runs , leading the Cardinals to an 8 - 0 victory Saturday over the San Francisco Giants .	1	1	0	0	
A. J. Griffin ( 9 - 7 ) allowed six hits and three runs and tied a season-high with eight strikeouts in 6 1/3 innings for the win .	1	1	1	0	
Danks ( 4 - 4 ) allowed one run and six hits in six innings to beat Edwin Jackson ( 3 - 4 ) for the second time this season .	1	0	1	0	
Andrew McCutchen homered and Brock Holt had three hits for the Pirates , who have lost seven of nine and continue their freefall out of contention .	1	0	1	0	
Alfonso Soriano also drove in a run on a fly and Kosuke Fukudome and Ronny Cedeno had RBI singles to help the Cubs beat the Pirates for the eighth time in nine meetings this season .	1	1	1	0	
Matt Belisle ( 1 - 4 ) pitched for the first time in 10 days , allowing three runs and seven hits over six - plus innings with three strikeouts and no walks .	1	0	1	0	
Dempster ( 5 - 8 ) allowed two runs and six hits over six innings , leaving with an 8 - 2 lead and picking up his first victory since June 9 .	1	1	1	0	
Dave Sappelt homered , and Wood ( 6 - 13 ) allowed five runs and five hits over five innings for the Cubs , who have lost six straight and 10 of 11 .	1	0	1	0	
Buchholz failed to extend his six - start winning streak at Rogers Centre , giving up two runs , one earned , and four hits in seven innings .	1	0	1	0	
Mike Pelfrey ( 2 - 2 ) had another rough outing , giving up five runs on nine hits in 4 2/3 innings , and the Twins lost for the first time in six games .	1	0	1	0	
Haren ( 4 - 6 ) allowed two runs and eight hits over 7 1/3 innings but absorbed his third straight loss .	1	0	1	0	
Wilson ( 12 - 9 ) won his third straight start , allowing an unearned run and four hits in 7 2/3 innings with six strikeouts and two walks .	1	0	1	0	
Coming off a shaky Aug. 10 Rockies debut in which he allowed nine runs in 2 2/3 innings , Hernandez picked up the victory despite allowing six runs on 10 hits over six innings .	1	1	1	0	
Kendrys Morales , Michael Morse and Michael Saunders each drove in a run in the highest-scoring first inning at the stadium that opened in 2009 .	0	1	1	0	
Oakland starter A. J. Griffin ( 2 - 2 ) allowed only five hits in seven innings but gave up two home runs for the second straight start .	1	1	0	0	
Outscored 14 - 4 in the first inning of their previous six games , the Rockies took a 4 - 0 lead with Helton 's three - run homer the big hit .	1	1	1	0	
Greinke ( 8 - 3 ) gave up four runs and six hits over seven innings in his second attempt at his 100th major league victory .	1	0	1	0	
Holland had gone 21 1/3 consecutive scoreless innings pitching against the Mariners at Safeco Field before giving up a two - out , two - run double to Kendrys Morales in the third inning .	1	0	1	0	
Paul Maholm ( 1 - 2 ) limited the Marlins to one run and four hits over six innings , ending a slide in which Pirates starting pitchers had an 11.38 ERA over the six games .	1	1	1	0	
Mitch Moreland and Ian Kinsler hit third-inning home runs against Tommy Hanson ( 1 - 0 ) , who gave up three runs and six hits over six innings in his Angels debut after arriving in an offseason trade with Atlanta .	1	0	1	0	
Ted Lilly gave up one hit in six scoreless innings , Derrek Lee drove in three runs and the Chicago Cubs won for the sixth time in seven games with a 7 - 3 victory over the Toronto Blue Jays 7 - 3 on Sunday .	1	1	1	0	
Park , 33 , struck out seven and scattered four hits over his six innings in the Dodgers ' 6 - 0 victory over the Angels on Friday night .	1	1	0	0	
New York right-hander Darrell Rasner gave up four runs in the first but shut out the Blue Jays over the next four innings to win for just the second time in nine outings .	1	1	1	0	
Burnett surrendered two runs on seven hits in 5 2/3 innings , striking out eight but walking four in his second start since returning from a torn calf .	1	0	1	0	
Morton ( 2 - 2 ) gave up three runs , six hits and a walk in 6 2/3 innings to earn his first win in five starts .	1	0	1	0	
The struggling Yankees scored three times in the seventh and restored their three - game lead in the AL East over Baltimore .	0	1	1	0	
Campillo , who threw 73 pitches , allowed four hits and the homer to Branyan caused his ERA to rise to 0.99 in 36 1/3 innings this season over 16 appearances .	1	1	1	0	
Charlie Morton ( 6 - 3 ) scattered five hits over 6 2/3 innings , walking three and striking out two to pick up his first career victory over the Brewers .	1	0	1	0	
Ryan Howard , Chase Utley and Chris Coste each homered as they pounded Maddux for seven runs and nine hits in just 5 2/3 innings .	1	1	0	0	
Recalled from Triple-A Norfolk to start against the White Sox , Brian Burres ( 7 - 8 ) gave up six runs , five earned , and 10 hits -- six for extra bases -- in five innings .	1	0	1	0	
Ripping a page from history -- the Pirates scored six runs in the final two innings to rally and win 10 - 9 in that ' 60 Game 7 -- they scored twice in the first against Darrell Rasner ( 4 - 5 ) .	1	1	1	0	
Baker ( 4 - 2 ) got his first big league hit and scored his first run while holding the Padres to three runs and six hits in six innings .	0	0	1	0	
McLouth hit a 1 - 1 pitch from Vidal Nuno ( 1 - 1 ) into the bleachers in right-center to give the Orioles their first win since May 12 .	1	0	1	0	
Hisashi Iwakuma ( 7 - 5 ) held the Rangers to three runs and eight hits in seven innings , and Justin Smoak had three hits and scored two runs for the Mariners .	1	1	0	0	
Hellickson gave up one run and four hits in six innings , retiring his last nine batters and sending the Yankees to their seventh loss in 10 games .	1	1	1	0	
Seth Smith homered and scored three times , Colon pitched seven strong innings for his first victory in nearly a month and the Oakland Athletics beat the Texas Rangers 9 - 2 on Monday night .	1	1	0	0	
Price retired six straight before Jeter led off the fifth with his 11th homer , giving him 1,269 hits at the House that Ruth Built .	0	1	1	0	
Dempster gave up three runs on six hits in six innings , walking two and striking out six for just his second victory in his last six decisions .	1	0	1	0	
Bumgarner allowed two hits in seven innings and combined with Sandy Rosario for a three - hit shutout in the San Francisco Giants ' 6 - 0 victory over the Atlanta Braves on Friday night .	1	1	0	0	
Cabrera , who had struggled with 17 walks over his previous five starts , struck out a season-high eight in six innings and did n't allow a free pass until the fifth .	0	1	1	0	
Mike Leake ( 2 - 1 ) gave up two runs and nine hits in 5 2/3 innings , earned his fourth straight decision over the Cubs with help from five relievers .	1	0	1	0	
Podsednik had three doubles among his four hits and two runs scored , and Jorge De La Rosa pitched six gritty innings to give the Colorado Rockies a 7 - 1 win over the Pittsburgh Pirates .	1	1	0	0	
